日期,名称,代码,开盘,最高,最低,收盘,涨跌幅%,成交量(手),成交额(元),换手率%,MA5,MA10,MA20,均线状态,MACD_DIF,MACD_DEA,MACD_BAR,支撑位,压力位,操作参考
20260707,石头科技,688169,97.49,98.88,96.0,96.28,-1.24,5690442.0,554434142.0,2.19,96.92,95.31,98.15,粘合震荡 ↔,-3.772,-4.575,1.607,89.53,114.0,🟡 偏空震荡(空头75%) 支撑¥90，重仓关注减仓
20260707,科沃斯,603486,52.66,53.9,51.73,51.89,-1.91,58434.0,307789866.0,1.02,52.48,51.51,53.36,粘合震荡 ↔,-2.202,-2.623,0.841,48.4,61.28,🟡 偏多震荡(62%) 支撑¥48 压力¥61，持有观望
20260707,嘉美包装,002969,13.26,13.47,12.84,12.89,-3.73,288169.0,376916802.0,2.64,13.64,13.91,14.7,空头排列 ↓,-1.389,-1.434,0.091,12.84,16.86,🔴 偏空(空头100%) 支撑¥13 压力¥17，控制仓位
20260707,影石创新,688775,133.28,137.44,131.1,131.22,-1.47,2768393.0,369924258.0,1.07,134.38,135.14,143.62,空头排列 ↓,-11.045,-11.711,1.332,130.88,172.0,🔴 偏空(空头100%) 支撑¥131 压力¥172，控制仓位
20260707,小米集团-W,01810,23.3,24.18,23.02,23.1,-0.77,202757349.0,4785424645.52,12.92,22.72,22.47,24.17,粘合震荡 ↔,-1.583,-1.721,0.276,21.3,28.1,🟡 偏多震荡(62%) 支撑¥21 压力¥28，持有观望
20260708,石头科技,688169,96.0,97.92,94.7,96.19,-0.09,5077085.0,488410426.0,1.96,96.98,95.68,97.4,粘合震荡 ↔,-3.582,-4.401,1.637,89.53,111.07,🔴 偏空(空头100%) 支撑¥90 压力¥111，控制仓位
20260708,科沃斯,603486,51.0,51.19,49.86,50.13,-1.65,43134.0,217456472.0,0.75,51.44,50.57,51.96,粘合震荡 ↔,-2.173,-2.547,0.747,47.48,60.16,🔴 偏空(空头100%) 支撑¥47 压力¥60，控制仓位
20260708,嘉美包装,002969,13.06,13.14,12.53,12.56,-2.56,240955.0,306332058.0,2.21,13.36,13.69,14.53,空头排列 ↓,-1.417,-1.435,0.037,12.53,16.86,🔴 偏空(空头100%) 支撑¥13 压力¥17，控制仓位
20260708,影石创新,688775,132.06,137.47,128.3,134.79,2.72,3991122.0,530859711.0,1.54,133.9,134.87,142.42,空头排列 ↓,-10.527,-11.526,1.998,128.3,172.0,🔴 偏空(空头100%) 支撑¥128 压力¥172，控制仓位
20260708,小米集团-W,01810,23.5,25.66,23.36,25.3,9.52,409721593.0,10143392263.3,14.15,23.45,22.74,24.06,粘合震荡 ↔,-1.299,-1.631,0.664,21.3,27.46,🟢 偏多(91%) 支撑¥21 压力¥27，持有观察
20260708,石头科技,688169,96.0,97.92,94.7,96.19,-0.09,5077085.0,488410426.0,1.96,96.98,95.68,97.4,粘合震荡 ↔,-3.582,-4.401,1.637,89.53,111.07,🔴 偏空(空头100%) 支撑¥90 压力¥111，控制仓位
20260708,科沃斯,603486,51.0,51.19,49.86,50.13,-1.65,43134.0,217456472.0,0.75,51.44,50.57,51.96,粘合震荡 ↔,-2.173,-2.547,0.747,47.48,60.16,🔴 偏空(空头100%) 支撑¥47 压力¥60，控制仓位
20260708,嘉美包装,002969,13.06,13.14,12.53,12.56,-2.56,240955.0,306332058.0,2.21,13.36,13.69,14.53,空头排列 ↓,-1.417,-1.435,0.037,12.53,16.86,🔴 偏空(空头100%) 支撑¥13 压力¥17，控制仓位
20260708,影石创新,688775,132.06,137.47,128.3,134.79,2.72,3991122.0,530859711.0,1.54,133.9,134.87,142.42,空头排列 ↓,-10.527,-11.526,1.998,128.3,172.0,🔴 偏空(空头100%) 支撑¥128 压力¥172，控制仓位
20260708,小米集团-W,01810,23.5,25.66,23.36,25.3,9.52,409721593.0,10143392263.3,14.15,23.45,22.74,24.06,粘合震荡 ↔,-1.299,-1.631,0.664,21.3,27.46,🟢 偏多(91%) 支撑¥21 压力¥27，持有观察
20260709,石头科技,688169,95.5,97.37,95.02,97.05,0.89,5499516.0,529975700.0,2.12,97.32,95.79,96.99,粘合震荡 ↔,-3.278,-4.138,1.72,89.53,105.64,🟠 方向不明 支撑¥90 压力¥106，观望为主
20260709,科沃斯,603486,50.0,50.97,49.76,50.81,1.36,37804.0,190362891.00000003,0.66,51.53,50.59,51.63,粘合震荡 ↔,-2.067,-2.457,0.78,47.48,57.68,🔴 偏空(空头100%) 支撑¥47 压力¥58，控制仓位
20260709,嘉美包装,002969,12.78,13.1,12.19,12.85,2.31,268828.0,340639066.0,2.46,13.15,13.53,14.44,空头排列 ↓,-1.401,-1.434,0.066,12.19,16.86,🔴 偏空(空头100%) 支撑¥12 压力¥17，控制仓位
20260709,影石创新,688775,134.0,136.6,130.05,135.98,0.88,3082648.0,411800578.0,1.19,134.22,134.67,141.05,空头排列 ↓,-9.872,-11.197,2.649,128.3,165.34,🔴 偏空(空头88%) 支撑¥128 压力¥165，控制仓位
20260709,小米集团-W,01810,25.42,26.16,24.48,25.0,-1.19,348613728.0,8818383000.36,13.98,23.93,22.95,23.95,粘合震荡 ↔,-1.087,-1.519,0.864,21.3,27.02,🟢 偏多(80%) 支撑¥21 压力¥27，持有观察
20260710,石头科技,688169,96.74,101.58,95.7,100.02,3.06,7727941.0,768385018.0,2.98,97.41,96.64,96.98,粘合震荡 ↔,-2.797,-3.877,2.16,89.53,104.5,🟢 偏多(75%) 支撑¥90 压力¥104，持有观察
20260710,科沃斯,603486,51.0,52.76,50.11,51.68,1.71,63294.0,327827156.00000006,1.1,51.11,50.91,51.47,粘合震荡 ↔,-1.89,-2.349,0.917,47.48,55.58,🟢 偏多(75%) 支撑¥47 压力¥56，持有观察
20260710,嘉美包装,002969,12.79,13.78,12.66,13.26,3.19,334975.0,444637993.0,3.07,12.99,13.47,14.36,空头排列 ↓,-1.344,-1.426,0.164,12.19,16.86,🔴 偏空(空头88%) 支撑¥12 压力¥17，控制仓位
20260710,影石创新,688775,135.11,142.0,135.11,138.6,1.93,4043327.0,563092915.0,1.56,134.75,135.34,139.81,空头排列 ↓,-9.075,-10.82,3.491,128.3,162.96,🔴 偏空(空头78%) 支撑¥128 压力¥163，控制仓位
20260710,小米集团-W,01810,25.22,26.3,24.5,25.84,3.36,254498794.0,6551800199.36,14.45,24.5,23.3,23.93,粘合震荡 ↔,-0.846,-1.387,1.083,21.3,26.78,🟢 偏多(80%) 支撑¥21 压力¥27，持有观察
20260713,石头科技,688169,99.3,100.08,98.18,99.1,-0.92,5729050.0,567847089.0,2.21,97.73,97.19,96.83,多头排列 ↑,-2.458,-3.595,2.274,89.53,104.5,🟢 偏多(88%) 支撑¥90 压力¥104，持有观察
20260713,科沃斯,603486,51.58,51.99,50.72,50.85,-1.61,46939.0,240071110.99999997,0.82,50.89,51.11,51.34,空头排列 ↓,-1.788,-2.231,0.884,47.48,54.85,🔴 偏空(空头88%) 支撑¥47 压力¥55，控制仓位
20260713,嘉美包装,002969,13.16,13.16,11.93,11.93,-10.03,344456.0,422670283.0,3.15,12.7,13.29,14.13,空头排列 ↓,-1.397,-1.438,0.081,11.93,16.86,🔴 偏空(空头100%) 支撑¥12 压力¥17，控制仓位
20260713,影石创新,688775,138.31,143.47,128.5,130.9,-5.56,4699541.0,635830563.0,1.81,134.3,135.08,138.53,空头排列 ↓,-8.907,-10.411,3.007,128.3,161.88,🔴 偏空(空头100%) 支撑¥128 压力¥162，控制仓位
20260713,小米集团-W,01810,25.84,26.78,25.58,25.84,0.0,206564861.0,5391127324.08,14.45,25.02,23.74,23.93,粘合震荡 ↔,-0.646,-1.239,1.187,21.3,26.78,🟢 偏多(75%) 支撑¥21 压力¥27，持有观察
20260714,石头科技,688169,99.01,102.28,98.1,99.7,0.61,5618656.0,561438850.0,2.17,98.41,97.66,96.69,多头排列 ↑,-2.099,-3.275,2.353,89.53,102.47,🟢 偏多(88%) 支撑¥90 压力¥102，持有观察
20260714,科沃斯,603486,50.85,51.69,50.15,50.54,-0.61,42136.0,214022280.0,0.73,50.8,51.18,51.13,粘合震荡 ↔,-1.72,-2.132,0.824,47.48,54.85,🔴 偏空(空头100%) 支撑¥47 压力¥55，控制仓位
20260714,嘉美包装,002969,11.97,12.27,11.64,12.24,2.6,388612.0,466143612.99999994,3.56,12.57,13.1,13.95,空头排列 ↓,-1.377,-1.414,0.074,11.64,16.15,🔴 偏空(空头100%) 支撑¥12 压力¥16，控制仓位
20260714,影石创新,688775,129.3,131.87,124.5,126.86,-3.09,3095100.0,392949957.0,1.19,133.43,133.9,137.05,空头排列 ↓,-9.018,-10.136,2.236,124.5,156.56,🔴 偏空(空头100%) 支撑¥124 压力¥157，控制仓位
20260714,小米集团-W,01810,26.06,26.28,25.24,26.04,0.77,235763261.0,6083820308.02,14.56,25.6,24.16,23.92,多头排列 ↑,-0.477,-1.101,1.249,21.3,26.78,🟢 偏多(88%) 支撑¥21 压力¥27，持有观察
20260715,石头科技,688169,98.99,104.87,98.08,102.92,3.23,7656518.0,778553826.0,2.95,99.76,98.37,96.82,多头排列 ↑,-1.544,-2.921,2.753,89.53,104.87,🟢 偏多(88%) 支撑¥90 压力¥105，持有观察
20260715,科沃斯,603486,50.54,54.24,50.45,53.2,5.26,78075.0,411223782.99999994,1.36,51.42,51.43,51.09,粘合震荡 ↔,-1.428,-1.986,1.116,47.48,54.72,🟢 偏多(83%) 支撑¥47 压力¥55，持有观察
20260715,嘉美包装,002969,12.15,12.57,12.15,12.23,-0.08,284870.0,352066936.0,2.61,12.5,12.93,13.77,空头排列 ↓,-1.368,-1.422,0.107,11.64,16.15,🔴 偏空(空头100%) 支撑¥12 压力¥16，控制仓位
20260715,影石创新,688775,126.86,133.4,126.86,130.33,2.74,2801575.0,366125872.0,1.08,132.53,133.22,136.13,空头排列 ↓,-8.731,-9.866,2.269,124.5,152.88,🔴 偏空(空头100%) 支撑¥124 压力¥153，控制仓位
20260715,小米集团-W,01810,26.04,26.2,25.28,25.86,-0.69,151795185.0,3910763435.34,14.46,25.72,24.58,23.9,多头排列 ↑,-0.343,-0.949,1.212,21.3,26.78,🟢 偏多(88%) 支撑¥21 压力¥27，持有观察
20260715,特发信息,000070,16.26,16.4,15.55,15.6,-4.7,553401.0,880243254.0,6.46,16.87,17.46,19.86,空头排列 ↓,-0.942,-0.414,-1.057,14.68,26.05,🔴 偏空(空头100%) 支撑¥15 压力¥26，控制仓位
20260715,航天电子,600879,18.15,18.78,17.38,17.38,-9.99,1980060.0,3563817922.0000005,6.0,20.5,20.85,20.45,粘合震荡 ↔,-0.297,-0.13,-0.334,17.38,23.31,🔴 偏空(空头100%) 支撑¥17 压力¥23，控制仓位
20260715,中捷资源,002021,2.36,2.55,2.35,2.4,0.42,461134.0,113188005.0,3.86,2.41,2.43,2.48,空头排列 ↓,-0.079,-0.082,0.006,2.26,2.75,🔴 偏空(空头100%) 支撑¥2 压力¥3，控制仓位
20260715,华建集团,600629,13.67,14.7,13.5,13.75,-3.64,456350.0,635385497.0,3.97,13.28,12.59,12.71,粘合震荡 ↔,-0.227,-0.565,0.677,11.4,15.09,🟢 偏多(80%) 支撑¥11 压力¥15，持有观察
20260715,万通发展,600246,19.3,19.9,17.7,17.98,-6.21,1575170.0,2948756160.0,8.33,19.53,18.44,18.49,粘合震荡 ↔,0.758,0.838,-0.161,15.35,21.32,🔴 偏空(空头88%) 支撑¥15 压力¥21，控制仓位
20260716,特发信息,000070,15.26,15.65,14.7,14.78,-5.26,537465.0,811865105.0,6.27,16.19,17.15,19.56,空头排列 ↓,-1.124,-0.565,-1.119,14.68,26.05,🔴 偏空(空头100%) 支撑¥15 压力¥26，控制仓位
20260716,航天电子,600879,17.01,17.62,16.7,16.99,-2.24,1176374.0,2023555535.0,3.57,19.67,20.46,20.29,粘合震荡 ↔,-0.567,-0.244,-0.647,16.7,23.31,🔴 偏空(空头100%) 支撑¥17 压力¥23，控制仓位
20260716,中捷资源,002021,2.4,2.46,2.35,2.39,-0.42,296214.0,71296530.0,2.48,2.41,2.42,2.48,空头排列 ↓,-0.077,-0.08,0.007,2.26,2.75,🔴 偏空(空头100%) 支撑¥2 压力¥3，控制仓位
20260716,华建集团,600629,13.62,14.07,13.24,13.57,-1.31,314119.0,430565578.0,2.73,13.67,12.73,12.69,多头排列 ↑,-0.157,-0.481,0.648,11.4,14.78,🟢 偏多(75%) 支撑¥11 压力¥15，持有观察
20260716,万通发展,600246,17.74,19.78,17.19,19.48,8.34,1857314.0,3588255851.0000005,9.82,19.27,18.75,18.58,多头排列 ↑,0.762,0.822,-0.12,15.35,21.32,🟡 偏多震荡(67%) 支撑¥15 压力¥21，持有观望
20260717,特发信息,000070,14.65,14.76,13.31,13.5,-8.66,620639.0,860242273.0,7.24,15.29,16.7,19.2,空头排列 ↓,-1.344,-0.714,-1.261,13.31,26.05,🔴 偏空(空头100%) 支撑¥13 压力¥26，控制仓位
20260717,航天电子,600879,16.8,17.11,15.6,16.28,-4.18,1636472.0,2628058514.0,4.96,18.26,19.86,20.07,空头排列 ↓,-0.811,-0.357,-0.909,15.6,23.31,🔴 偏空(空头100%) 支撑¥16 压力¥23，控制仓位
20260717,中捷资源,002021,2.39,2.43,2.27,2.32,-2.93,341310.0,79950127.0,2.86,2.38,2.4,2.47,空头排列 ↓,-0.079,-0.079,-0.0,2.26,2.75,🔴 偏空(空头100%) 支撑¥2 压力¥3，控制仓位
20260717,华建集团,600629,13.55,13.89,12.32,12.41,-8.55,386937.0,502043864.00000006,3.37,13.61,12.73,12.64,多头排列 ↑,-0.198,-0.428,0.461,11.4,14.78,🟡 偏空震荡(空头73%) 支撑¥11，重仓关注减仓
20260717,万通发展,600246,18.99,19.36,17.53,17.53,-10.01,1565187.0,2789279487.0,8.28,18.81,18.97,18.53,粘合震荡 ↔,0.603,0.779,-0.353,15.35,21.32,🔴 偏空(空头88%) 支撑¥15 压力¥21，控制仓位
20260720,特发信息,000070,13.98,14.22,12.45,12.85,-4.81,661764.0,886542502.0,7.72,14.62,16.11,18.7,空头排列 ↓,-1.566,-0.894,-1.344,12.45,26.05,🔴 偏空(空头100%) 支撑¥12 压力¥26，控制仓位
20260720,航天电子,600879,16.2,16.42,14.65,14.65,-10.01,1431928.0,2201929991.0,4.34,16.92,19.18,19.8,空头排列 ↓,-1.12,-0.506,-1.229,14.65,23.31,🔴 偏空(空头100%) 支撑¥15 压力¥23，控制仓位
20260720,中捷资源,002021,2.32,2.37,2.21,2.24,-3.45,294853.0,67341555.0,2.47,2.35,2.37,2.46,空头排列 ↓,-0.089,-0.082,-0.013,2.21,2.75,🔴 偏空(空头100%) 支撑¥2 压力¥3，控制仓位
20260720,华建集团,600629,12.46,12.7,11.84,12.03,-3.06,378259.0,459952041.0,3.29,13.21,12.75,12.56,多头排列 ↑,-0.251,-0.387,0.272,11.4,14.78,🟡 偏空震荡(空头64%) 支撑¥11，重仓关注减仓
20260720,万通发展,600246,17.1,17.17,15.78,15.78,-9.98,1346218.0,2186710640.0,7.12,17.99,18.85,18.43,粘合震荡 ↔,0.329,0.687,-0.716,15.35,21.32,🔴 偏空(空头83%) 支撑¥15 压力¥21，控制仓位
20260721,特发信息,000070,13.08,13.79,11.57,13.75,7.0,833270.0,1054956950.0000001,9.73,14.1,15.67,18.14,空头排列 ↓,-1.641,-1.04,-1.202,11.57,26.05,🔴 偏空(空头85%) 支撑¥12 压力¥26，控制仓位
20260721,航天电子,600879,14.67,15.29,13.85,15.14,3.34,1727133.0,2520544222.0,5.23,16.09,18.63,19.61,空头排列 ↓,-1.311,-0.665,-1.294,13.85,23.31,🔴 偏空(空头100%) 支撑¥14 压力¥23，控制仓位
20260721,中捷资源,002021,2.26,2.27,2.13,2.23,-0.45,295835.0,65024056.0,2.47,2.32,2.35,2.44,空头排列 ↓,-0.094,-0.084,-0.021,2.13,2.75,🔴 偏空(空头100%) 支撑¥2 压力¥3，控制仓位
20260721,华建集团,600629,11.93,12.45,11.7,12.3,2.24,284884.0,343904373.0,2.48,12.81,12.84,12.5,粘合震荡 ↔,-0.268,-0.359,0.181,11.4,14.78,🔴 偏空(空头100%) 支撑¥11 压力¥15，控制仓位
20260721,万通发展,600246,14.83,15.78,14.2,15.05,-4.63,2513262.0,3697692945.0,13.29,17.16,18.5,18.32,粘合震荡 ↔,0.052,0.558,-1.011,14.2,21.32,🟡 偏空震荡(空头75%) 支撑¥14，重仓关注减仓
20260722,特发信息,000070,13.28,13.9,13.24,13.37,-2.76,573333.0,780357141.0,6.69,13.65,15.26,17.54,空头排列 ↓,-1.703,-1.16,-1.086,11.57,25.47,🔴 偏空(空头100%) 支撑¥12 压力¥25，控制仓位
20260722,航天电子,600879,14.89,15.42,14.71,14.97,-1.12,1015494.0,1530087023.0,3.08,15.61,18.05,19.4,空头排列 ↓,-1.448,-0.804,-1.287,13.85,23.31,🔴 偏空(空头100%) 支撑¥14 压力¥23，控制仓位
20260722,中捷资源,002021,2.23,2.25,2.18,2.19,-1.79,180706.0,39995647.0,1.51,2.27,2.34,2.42,空头排列 ↓,-0.101,-0.088,-0.027,2.13,2.75,🔴 偏空(空头100%) 支撑¥2 压力¥3，控制仓位
20260722,华建集团,600629,12.15,12.33,11.88,12.0,-2.44,227261.0,274940493.0,1.98,12.46,12.87,12.44,粘合震荡 ↔,-0.302,-0.342,0.081,11.4,14.78,🔴 偏空(空头100%) 支撑¥11 压力¥15，控制仓位
20260722,万通发展,600246,14.6,16.56,14.6,15.66,4.05,2533220.0,3998058209.0,13.4,16.7,18.12,18.14,空头排列 ↓,-0.112,0.428,-1.08,14.2,21.32,🔴 偏空(空头100%) 支撑¥14 压力¥21，控制仓位
20260723,特发信息,000070,13.4,14.06,13.3,13.68,2.32,531274.0,728197508.0,6.2,13.43,14.81,16.98,空头排列 ↓,-1.718,-1.274,-0.889,11.57,24.76,🔴 偏空(空头78%) 支撑¥12 压力¥25，控制仓位
20260723,航天电子,600879,14.75,15.5,14.72,15.35,2.54,927125.0,1411285362.0,2.81,15.28,17.47,19.22,空头排列 ↓,-1.517,-0.944,-1.146,13.85,23.31,🔴 偏空(空头88%) 支撑¥14 压力¥23，控制仓位
20260723,中捷资源,002021,2.19,2.29,2.18,2.27,3.65,282539.0,63599010.0,2.36,2.25,2.33,2.4,空头排列 ↓,-0.1,-0.091,-0.018,2.13,2.68,🔴 偏空(空头88%) 支撑¥2 压力¥3，控制仓位
20260723,华建集团,600629,11.95,12.39,11.92,12.3,2.5,182361.0,221780275.0,1.59,12.21,12.94,12.43,粘合震荡 ↔,-0.307,-0.339,0.064,11.4,14.78,🟡 偏空震荡(空头75%) 支撑¥11，重仓关注减仓
20260723,万通发展,600246,15.25,15.5,14.09,14.47,-7.6,2315692.0,3347521971.0,12.25,15.7,17.48,17.88,空头排列 ↓,-0.346,0.261,-1.215,14.09,21.32,🔴 偏空(空头100%) 支撑¥14 压力¥21，控制仓位
20260724,特发信息,000070,13.34,13.49,12.85,13.0,-4.97,383329.0,505030561.0,4.47,13.33,14.31,16.52,空头排列 ↓,-1.754,-1.359,-0.791,11.57,22.35,🔴 偏空(空头100%) 支撑¥12 压力¥22，控制仓位
20260724,航天电子,600879,15.1,15.3,14.62,14.62,-4.76,787477.0,1174297946.0,2.39,14.95,16.6,18.95,空头排列 ↓,-1.604,-1.063,-1.082,13.85,23.31,🔴 偏空(空头100%) 支撑¥14 压力¥23，控制仓位
20260724,中捷资源,002021,2.25,2.27,2.2,2.22,-2.2,182152.0,40665976.0,1.52,2.23,2.3,2.39,空头排列 ↓,-0.101,-0.092,-0.017,2.13,2.67,🔴 偏空(空头100%) 支撑¥2 压力¥3，控制仓位
20260724,华建集团,600629,12.17,12.26,11.72,11.8,-4.07,154005.0,183450569.0,1.34,12.09,12.85,12.41,粘合震荡 ↔,-0.343,-0.337,-0.011,11.4,14.78,🔴 偏空(空头100%) 支撑¥11 压力¥15，控制仓位
20260724,万通发展,600246,14.06,14.47,13.46,13.52,-6.57,1378723.0,1904693897.0,7.29,14.9,16.85,17.56,空头排列 ↓,-0.589,0.097,-1.372,13.46,21.32,🔴 偏空(空头100%) 支撑¥13 压力¥21，控制仓位
20260727,特发信息,000070,12.9,13.74,12.89,13.66,5.08,470891.0,631776645.0,5.5,13.49,14.06,16.18,空头排列 ↓,-1.718,-1.431,-0.573,11.57,21.0,🟡 偏空震荡(空头70%) 支撑¥12，重仓关注减仓
20260727,航天电子,600879,14.6,15.1,14.44,15.08,3.15,777909.0,1160533223.0,2.36,15.03,15.98,18.71,空头排列 ↓,-1.632,-1.186,-0.894,13.85,23.31,🔴 偏空(空头88%) 支撑¥14 压力¥23，控制仓位
20260727,中捷资源,002021,2.28,2.39,2.23,2.36,6.31,415334.0,97411182.00000001,3.47,2.25,2.3,2.38,空头排列 ↓,-0.09,-0.092,0.005,2.13,2.67,🟠 方向不明 支撑¥2 压力¥3，观望为主
20260727,华建集团,600629,11.7,12.34,11.56,12.21,3.47,187934.0,227600660.0,1.63,12.12,12.66,12.43,粘合震荡 ↔,-0.336,-0.336,0.001,11.4,14.78,🟠 方向不明 支撑¥11 压力¥15，观望为主
20260727,万通发展,600246,13.13,13.8,13.01,13.74,1.63,1198792.0,1614804236.0,6.34,14.49,16.24,17.32,空头排列 ↓,-0.76,-0.075,-1.369,13.01,21.31,🔴 偏空(空头100%) 支撑¥13 压力¥21，控制仓位
20260728,特发信息,000070,13.52,13.9,12.96,13.03,-4.61,448165.0,601184426.0,5.23,13.35,13.72,15.79,空头排列 ↓,-1.707,-1.471,-0.472,11.57,21.0,🔴 偏空(空头100%) 支撑¥12 压力¥21，控制仓位
20260728,航天电子,600879,14.89,15.2,14.55,14.64,-2.92,703422.0,1041831841.0,2.13,14.93,15.51,18.38,空头排列 ↓,-1.674,-1.295,-0.76,13.85,23.31,🔴 偏空(空头100%) 支撑¥14 压力¥23，控制仓位
20260728,中捷资源,002021,2.34,2.47,2.33,2.44,3.39,395552.0,94706383.0,3.31,2.3,2.31,2.38,空头排列 ↓,-0.075,-0.091,0.032,2.13,2.67,🟡 偏多震荡(62%) 支撑¥2 压力¥3，持有观望
20260728,华建集团,600629,13.2,13.43,12.67,13.43,9.99,272634.0,356170192.0,2.37,12.35,12.58,12.5,粘合震荡 ↔,-0.232,-0.319,0.174,11.4,14.78,🟡 偏多震荡(67%) 支撑¥11 压力¥15，持有观望
20260728,万通发展,600246,13.66,13.98,12.41,12.51,-8.95,1404490.0,1830830860.0,7.43,13.98,15.57,17.0,空头排列 ↓,-0.992,-0.271,-1.442,12.41,21.31,🔴 偏空(空头100%) 支撑¥12 压力¥21，控制仓位
20260729,特发信息,000070,12.99,13.15,12.38,12.72,-2.38,454645.0,577003932.0,5.31,13.22,13.43,15.45,空头排列 ↓,-1.717,-1.523,-0.388,11.57,19.33,🔴 偏空(空头100%) 支撑¥12 压力¥19，控制仓位
20260729,航天电子,600879,14.75,14.84,14.33,14.71,0.48,699980.0,1021278732.0,2.12,14.88,15.24,18.05,空头排列 ↓,-1.687,-1.388,-0.598,13.85,23.31,🔴 偏空(空头88%) 支撑¥14 压力¥23，控制仓位
20260729,中捷资源,002021,2.44,2.64,2.43,2.56,4.92,530431.0,135123753.0,4.44,2.37,2.32,2.38,粘合震荡 ↔,-0.052,-0.084,0.063,2.13,2.67,🟢 偏多(89%) 支撑¥2 压力¥3，持有观察
20260729,华建集团,600629,13.0,13.17,12.47,12.67,-5.66,422934.0,539218652.0,3.68,12.48,12.47,12.53,粘合震荡 ↔,-0.214,-0.308,0.187,11.4,14.78,🟠 方向不明 支撑¥11 压力¥15，观望为主
20260729,万通发展,600246,12.5,12.63,11.28,11.67,-6.71,1414156.0,1665921710.0,7.48,13.18,14.94,16.69,空头排列 ↓,-1.224,-0.465,-1.519,11.28,21.31,🔴 偏空(空头100%) 支撑¥11 压力¥21，控制仓位
20260730,特发信息,000070,12.64,12.95,12.0,12.18,-4.25,422878.0,524243975.99999994,4.94,12.92,13.17,15.16,空头排列 ↓,-1.764,-1.594,-0.341,11.57,19.13,🔴 偏空(空头100%) 支撑¥12 压力¥19，控制仓位
20260730,航天电子,600879,14.55,14.7,14.02,14.03,-4.62,767516.0,1096848104.0,2.33,14.62,14.95,17.7,空头排列 ↓,-1.723,-1.457,-0.533,13.85,23.31,🔴 偏空(空头100%) 支撑¥14 压力¥23，控制仓位
20260730,中捷资源,002021,2.55,2.61,2.49,2.5,-2.34,339255.0,85991823.0,2.84,2.42,2.33,2.38,粘合震荡 ↔,-0.039,-0.075,0.073,2.13,2.67,🟢 偏多(80%) 支撑¥2 压力¥3，持有观察
20260730,华建集团,600629,12.48,13.94,12.48,13.94,10.02,389600.0,525348733.99999994,3.39,12.81,12.51,12.62,粘合震荡 ↔,-0.096,-0.273,0.354,11.4,14.78,🟢 偏多(86%) 支撑¥11 压力¥15，持有观察
